Steel,C,Si,Mn,Cr,Mo,Ni,Al,Cu,ppmB,Pa,Rc,lnRc,Texp
MR23,0.14,0.23,0.37,1.63,0.06,1.73,0,0.22,0,1082.82,0.15,-1.897119985,710
MR23,0.14,0.23,0.37,1.63,0.06,1.73,0,0.22,0,1082.82,0.06,-2.813410717,720
MR24,0.15,0.36,0.19,2.21,0.06,2.13,0,0.27,0,1092.92,2.4,0.875468737,690
MR24,0.15,0.36,0.19,2.21,0.06,2.13,0,0.27,0,1092.92,0.11,-2.207274913,715
MR24,0.15,0.36,0.18,2.21,0.06,2.13,0,0.27,0,1092.92,0.06,-2.813410717,725
MR26,0.22,0.42,1.34,0.25,0,0.17,0,0.2,0,1139.37,7.8,2.054123734,700
MR26,0.22,0.42,1.34,0.25,0,0.17,0,0.2,0,1139.37,2.5,0.916290732,730
MR26,0.22,0.42,1.33,0.25,0,0.17,0,0.2,0,1139.37,0.17,-1.771956842,755
MR26,0.22,0.42,1.33,0.25,0,0.17,0,0.2,0,1139.37,0.05,-2.995732274,765
MR27,0.24,0.52,1.96,0.25,0.04,0.17,0,0.25,0,1139.53,8,2.079441542,655
MR27,0.24,0.52,1.96,0.25,0.04,0.17,0,0.25,0,1139.53,1.2,0.182321557,685
MR27,0.24,0.52,1.96,0.25,0.04,0.17,0,0.25,0,1139.53,0.13,-2.040220829,710
MR29,0.29,0.45,1.81,0.74,0.7,0.48,0,0.23,0,1101.74,0.14,-1.966112856,700
MR29,0.29,0.45,1.81,0.74,0.7,0.48,0,0.23,0,1101.74,0.044,-3.123565645,710
MR31,0.27,0.44,1.06,2.08,0.42,1.32,0.05,0.24,0,1092.28,0.064,-2.748872196,675
MR31,0.27,0.44,1.06,2.08,0.42,1.32,0.05,0.24,0,1092.28,0.032,-3.442019376,685
MR32,0.2,0.54,1.77,0.11,0,1.65,0,1.85,0,1082.82,10.9,2.388762789,634
MR32,0.2,0.54,1.77,0.11,0,1.65,0,1.85,0,1082.82,1.13,0.122217633,656
MR32,0.2,0.54,1.77,0.11,0,1.65,0,1.85,0,1082.82,0.048,-3.036554268,677
MR34,0.86,0.27,0.06,0.1,0,0,0,0.25,0,1046.32,7.75,2.047692843,675
MR34,0.86,0.27,0.06,0.1,0,0,0,0.25,0,1046.32,1.12,0.113328685,690
MR34,0.86,0.27,0.06,0.1,0,0,0,0.25,0,1046.32,0.12,-2.120263536,705
MR34,0.86,0.27,0.06,0.1,0,0,0,0.25,0,1046.32,0.03,-3.506557897,710
MR38,0.67,1.77,0.43,0.6,0.19,0.4,0,0.26,0,1082.82,1.1,0.09531018,675
MR38,0.67,1.77,0.43,0.6,0.19,0.4,0,0.26,0,1082.82,0.15,-1.897119985,705
MR38,0.67,1.77,0.43,0.6,0.19,0.4,0,0.26,0,1082.82,0.04,-3.218875825,710
MR39,0.33,0.23,0.46,1.82,0.23,1.03,0.92,0.28,0,1111.19,1.2,0.182321557,730
MR39,0.33,0.23,0.46,1.82,0.23,1.03,0.92,0.28,0,1111.19,0.17,-1.771956842,750
MR39,0.33,0.23,0.46,1.82,0.23,1.03,0.92,0.28,0,1111.19,0.07,-2.659260037,760
MR40,0.41,0.32,1.01,1.9,0.4,0.16,1.12,0.3,0,1139.53,0.083,-2.488914671,750
MR40,0.41,0.32,1.01,1.9,0.4,0.16,1.12,0.3,0,1139.53,0.04,-3.218875825,760
MR41,0.37,0.2,0,2.08,0.31,0.23,0.94,0.27,0,1139.53,0.14,-1.966112856,730
MR41,0.37,0.2,0,2.08,0.31,0.23,0.94,0.27,0,1139.53,0.063,-2.764620553,750
MR41,0.37,0.2,0,2.08,0.31,0.23,0.94,0.27,0,1139.53,0.04,-3.218875825,760
MR42,0.4,0.25,0.43,1.83,0.29,0.25,0.85,0.32,0,1148.96,0.095,-2.353878387,755
MR42,0.4,0.25,0.43,1.83,0.29,0.25,0.85,0.32,0,1148.96,0.045,-3.101092789,775
MR43,0.18,0.3,1.61,0.39,0.52,1.27,0,0.23,0,1120.64,0.15,-1.897119985,685
MR43,0.18,0.3,1.61,0.39,0.52,1.27,0,0.23,0,1120.64,0.083,-2.488914671,700
